ID,Color,Faulty,Date,URL
34,green,OK,2024/6/4/12/0/9,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/34.jpg
33,green,OK,2024/6/4/11/59/55,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/33.jpg
32,green,OK,2024/6/4/11/59/31,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/32.jpg
31,green,OK,2024/6/4/11/59/19,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/31.jpg
30,green,OK,2024/6/4/11/59/6,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/30.jpg
29,green,OK,2024/6/4/11/50/55,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/29.jpg
28,green,OK,2024/6/4/11/50/43,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/28.jpg
27,green,OK,2024/6/4/11/50/31,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/27.jpg
26,green,OK,2024/6/4/11/50/19,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/26.jpg
25,green,OK,2024/6/4/11/50/6,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/25.jpg
24,green,OK,2024/6/4/11/46/6,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/24.jpg
23,green,OK,2024/6/4/11/45/8,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/23.jpg
22,green,OK,2024/6/4/11/44/51,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/22.jpg
21,green,OK,2024/6/4/11/44/48,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/21.jpg
19,red,OK,2024/6/4/11/44/0,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/19.jpg
18,fail,Faulty,2024/6/4/11/43/51,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/18.jpg
17,red,OK,2024/6/4/11/43/39,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/17.jpg
16,fail,Faulty,2024/6/4/11/43/24,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/16.jpg
15,red,OK,2024/6/4/11/43/3,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/15.jpg
14,yellow,OK,2024/6/4/11/42/51,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/14.jpg
13,green,OK,2024/6/4/11/42/39,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/13.jpg
12,red,OK,2024/6/4/11/42/23,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/12.jpg
11,yellow,OK,2024/6/4/11/39/44,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/11.jpg
10,green,OK,2024/6/4/11/39/31,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/10.jpg
9,green,OK,2024/6/4/11/35/30,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/9.jpg
7,red,OK,2024/6/4/11/35/30,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/7.jpg
4,yellow,OK,2024/6/4/11/16/23,https://box-s3-buket.s3.ap-northeast-2.amazonaws.com/4.jpg
